назва,широта,довгота,тип,область,населення
Баштанка,47.4033486,32.4388921,містечко,,12696
Гвардійське,45.1157294,34.0239034,містечко,,12660
Гнівань,49.0933696,28.338343,містечко,,12592
Бучач,49.0630503,25.389969,містечко,,12514
Перегінське,48.8115525,24.1938558,містечко,,12486
Мена,51.52279,32.21638,містечко,,12425
Нова Одеса,47.310996,31.7739735,містечко,,12410
Сіверськ,48.8676267,38.0902435,містечко,,12392
Лохвиця,50.3595181,33.2741725,містечко,,12307
Котельва,50.0669582,34.7613681,містечко,,12300
Світлодарськ,48.43803,38.22349,містечко,,12273
Біляївка,46.4844245,30.2120913,містечко,,12213
Боково-Хрустальне,48.1499941,38.8182126,містечко,,12197
Приморськ,46.7343149,36.3472151,містечко,,12183
Узин,49.8284745,30.4197205,містечко,,12166
Українськ,48.09471,37.35866,містечко,,12161
Заставна,48.5235845,25.8455783,містечко,,12159
Баранівка,50.29369,27.66666,містечко,,12128
Якимівка,46.69636,35.15522,містечко,,12001
Миронівка,49.6583412,30.9824887,містечко,,11999
Родинське,48.3536652,37.2034069,містечко,,11996
Новоазовськ,47.1138718,38.0830911,містечко,,11950
Інкерман,44.6181043,33.6043271,містечко,,11918
Кальміуське,47.6687951,38.0739208,містечко,,11909
Соледар,48.6956698,38.0671791,містечко,,11898
Васильківка,48.21041,36.03035,містечко,,11885
Гірник,48.0567943,37.3723976,містечко,,11822
Ічня,50.8623444,32.3910144,містечко,,11781
Камінь-Каширський,51.6271153,24.961357,містечко,,11756
Овідіополь,46.2473734,30.4448614,містечко,,11741
Новомиргород,48.7969701,31.6523837,містечко,,11677
Покровське,47.9808528,36.2333808,містечко,,11661
Соснівка,50.2909116,24.2563161,містечко,,11588
Тараща,49.555498,30.5023421,містечко,,11572
Гребінка,50.1206044,32.4289258,містечко,,11562
Біюк-Онлар,45.2931604,34.128563,містечко,,11489
Сновськ,51.8187527,31.9448953,містечко,,11393
Іллінці,49.1136358,29.2024356,містечко,,11340
Гаспра,44.4356415,34.1027932,містечко,,11313
Борщів,48.8025557,26.0401871,містечко,,11273
Мала Виска,48.6404935,31.634205,містечко,,11269
Бобровиця,50.7415033,31.3860852,містечко,,11244
Щолкіне,45.4291446,35.8222792,містечко,,11231
Широке,47.6846511,33.2645369,містечко,,11221
Жидачів,49.3831172,24.1426813,містечко,,11204
Гресівський,45.0101779,34.0264874,містечко,,11139
Веселе,47.0179164,34.9211323,містечко,,11098
Таврійськ,46.7550442,33.4248309,містечко,,11051
Мостиська,49.79235,23.147933,містечко,,11000
Баришівка,50.3645295,31.3256722,містечко,,10950
Нью-Йорк,48.3320198,37.8365875,містечко,,10948
Бобринець,48.05729,32.15938,містечко,,10945
Кам’янка-Бузька,50.104744,24.3452815,містечко,,10921
Татарбунари,45.8398696,29.6166537,містечко,,10881
Дубляни,49.9026751,24.0876223,містечко,,10795
Сартана,47.1701321,37.6952892,містечко,,10772
Болехів,49.0663203,23.8598949,містечко,,10766
Моспине,47.8813092,38.0746792,містечко,,10753
Курман,45.4959593,34.2950929,містечко,,10742
Новодністровськ,48.58485,27.4311004,містечко,,10701
Барвінкове,48.9035037,37.025111,містечко,,10700
Іванків,50.93301,29.9042867,містечко,,10602
Летичів,49.38286,27.62306,містечко,,10577
Маневичі,51.2908106,25.537878,містечко,,10500
Радивилів,50.1279775,25.2487069,містечко,,10487
Добротвір,50.2057172,24.3857048,містечко,,10457
Зіньків,50.21026,34.35768,містечко,,10393
Макарів,50.4639897,29.8068986,містечко,,10389
Ірміно,48.6013803,38.6018666,містечко,,10355
Північне,48.3866143,37.9018986,містечко,,10330
Гірське,48.7398863,38.4959612,містечко,,10317
Валки,49.8305999,35.6088208,містечко,,10295
Олевськ,51.22272,27.64881,містечко,,10229
Снятин,48.4523142,25.5518046,містечко,,10161
Перещепине,49.01825,35.35915,містечко,,10150
Зимогір’я,48.5782151,38.9451299,містечко,,10148
Верхівцеве,48.48404,34.24232,містечко,,10134
Любомль,51.2234546,24.0315783,містечко,,10129
Теплодар,46.5050729,30.3272329,містечко,,10081
Новоолексіївка,46.2277494,34.6413868,містечко,,10080
Чаплинка,46.3617756,33.5380219,містечко,,10021
Софіївка,48.270333,38.144668,містечко,,10013
Погребище,49.4848166,29.2579157,містечко,,10013
Мар’їнка,47.9401242,37.5022312,містечко,,9978
Ічкі,45.3458907,34.9235341,містечко,,9947
Айдар,49.5383615,39.1022062,містечко,,9900
Ходорів,49.4065802,24.3140241,містечко,,9900
Донець,49.5092289,36.569621,містечко,,9883
Сєверне,48.0829812,38.6855636,містечко,,9868
Золочів,50.2790531,35.9824347,містечко,,9860
Білозерка,46.63078,32.44537,містечко,,9804
Ворожба,51.1722411,34.2245008,містечко,,9800
Куп’янськ-Вузловий,49.6604953,37.6439202,містечко,,9789
Смоліне,48.6014602,31.2957107,містечко,,9745
Красноїльськ,48.0182168,25.5998844,містечко,,9738
Черняхів,50.45299,28.66573,містечко,,9726
Безлюдівка,49.87072,36.29848,містечко,,9693
Тисмениця,48.9018102,24.8484719,містечко,,9618
Дубове,48.17917,23.88599,містечко,,9591
Велика Димерка,50.5913563,30.9016229,містечко,,9564
Нижньогірський,45.4430256,34.7384352,містечко,,9564
Млинів,50.5118774,25.6126259,містечко,,9564
Біленьке,48.7592059,37.6177633,містечко,,9551
Міжгір’я,48.5281184,23.5009289,містечко,,9549
Сокиряни,48.4460307,27.411193,містечко,,9538
Покотилівка,49.9161047,36.1804499,містечко,,9536
Каланчак,46.257184,33.2843632,містечко,,9518
Ратне,51.67145,24.52458,містечко,,9483
Радехів,50.2808744,24.6397908,містечко,,9463
Борзна,51.2534475,32.4263156,містечко,,9454
Дубровиця,51.5709462,26.5660889,містечко,,9430
Любашівка,47.8315678,30.2562335,містечко,,9429
Городенка,48.6720598,25.4952722,містечко,,9428
Заліщики,48.6536489,25.7310915,містечко,,9426
Хотин,48.5068418,26.4859086,містечко,,9422
Помічна,48.243309,31.4037217,містечко,,9412
Козова,49.4332743,25.1484661,містечко,,9389
Глибока,48.08578,25.92842,містечко,,9376
Великий Бичків,47.973549,24.0147396,містечко,,9367
Ананьїв,47.7161562,29.9634987,містечко,,9355
Новий Світ,47.8066532,38.0211415,містечко,,9329
Решетилівка,49.5586111,34.0791667,містечко,,9297
Горохів,50.4986166,24.7600734,містечко,,9186
Тячів,48.01163,23.5783799,містечко,,9184
Іршава,48.31924,23.0417599,містечко,,9166
Андрушівка,50.0301392,29.0222111,містечко,,9092
Гурзуф,44.5479215,34.2736976,містечко,,9068
Крижопіль,48.38568,28.86941,містечко,,9024
Ясенівський,48.1561105,39.2064734,містечко,,9017
Пустомити,49.7189582,23.9047288,містечко,,9016
Королево,48.1541387,23.1322333,містечко,,8993
Чоп,48.4313665,22.2063694,містечко,,8981
Солотвино,47.9470202,23.8747013,містечко,,8977
Успенка,48.3937544,39.1568338,містечко,,8974
Кодима,48.1047445,29.1285642,містечко,,8932
Краснопілля,50.7712539,35.2563391,містечко,,8905
Стрижавка,49.3097584,28.4730593,містечко,,8869
Липовець,49.2296415,29.0642148,містечко,,8867
Володимирець,51.4197839,26.1392078,містечко,,8857
Тлумач,48.8665866,25.0011978,містечко,,8841
Буринь,51.1960431,33.8288042,містечко,,8787
Білицьке,48.4078477,37.176481,містечко,,8768
Заводське,50.4052959,33.3973661,містечко,,8700
Ланівці,49.8734191,26.0780148,містечко,,8682
Глеваха,50.259673,30.3059171,містечко,,8679
Христинівка,48.812969,29.9677872,містечко,,8671
Врадіївка,47.8594344,30.5891291,містечко,,8669
Нове,48.5293378,32.1245383,містечко,,8653
Буштино,48.0486521,23.4862834,містечко,,8634
Сахновщина,49.1517351,35.875332,містечко,,8625
Новоайдар,48.9596084,38.9937733,містечко,,8622
Любимівка,48.0480279,39.4527482,містечко,,8599
Маньківка,48.9634119,30.3342681,містечко,,8596
Вилкове,45.40306,29.58309,містечко,,8570
Микільське,47.2004406,37.3162144,містечко,,8539
Варва,50.4982561,32.7228573,містечко,,8518
Алупка,44.4204046,34.0483715,містечко,,8497
Яворницьке,48.4043673,35.275539,містечко,,8495
Диканька,49.8227778,34.5386111,містечко,,8468
Косів,48.315802,25.0983417,містечко,,8456
Семенівка,52.17853,32.57755,містечко,,8450
Монастирище,48.9944069,29.8007253,містечко,,8425
Масандра,44.5087776,34.1886781,містечко,,8413
Буськ,49.965355,24.6089531,містечко,,8355
Мангуш,47.0568106,37.3078191,містечко,,8331
Рава-Руська,50.230654,23.6240014,містечко,,8328
Біловодськ,49.2068078,39.5911619,містечко,,8313
Вишково,48.0460598,23.4277425,містечко,,8312
Ясногірка,48.7786606,37.5536569,містечко,,8312
Ясіня,48.2722802,24.3611884,містечко,,8308
Борова,50.1699295,30.1033125,містечко,,8300
Обухівка,48.5495226,34.8545508,містечко,,8266
Козелець,50.9160647,31.1167509,містечко,,8251
Вуглегірськ,48.3119524,38.2609048,містечко,,8226
Лисянка,49.2526497,30.8275126,містечко,,8206
Делятин,48.5277174,24.6286388,містечко,,8184
Кушугум,47.71671,35.20981,містечко,,8176
Нові Санжари,49.3338321,34.3148631,містечко,,8146
Квасилів,50.5582459,26.2623998,містечко,,8117
Миронівський,48.4620526,38.2754689,містечко,,8100
Рогатин,49.4092703,24.6105811,містечко,,8097
Слов’яносербськ,48.6946569,38.9862564,містечко,,8065
Межова,48.2553506,36.7322839,містечко,,8049
Яремче,48.4504129,24.550955,містечко,,8047
Пантелеймонівка,48.2071448,37.9729054,містечко,,8009
Краснокутськ,50.0625892,35.1647821,містечко,,8008
Градизьк,49.2311773,33.1206291,містечко,,8002
Підволочиськ,49.531358,26.1440799,містечко,,8002
Троїцьке,49.9074486,38.2868192,містечко,,7975
Криве Озеро,47.9532217,30.3425878,містечко,,7958
Ярмолинці,49.1893102,26.8268091,містечко,,7954
Ланчин,48.5554737,24.7523396,містечко,,7938
Єди-Кую,45.297284,35.7758985,містечко,,7936
Богородчани,48.8092602,24.5456201,містечко,,7916
Привілля,48.99971,38.30109,містечко,,7901
Новоселиця,48.2179594,26.2664831,містечко,,7892
Вапнярка,48.5312383,28.7468189,містечко,,7891
Новодружеськ,48.963397,38.3519615,містечко,,7870
Почаїв,50.0017638,25.5110926,містечко,,7842
Царичанка,48.9434,34.48986,містечко,,7839
Велика Лепетиха,47.178599,33.9428266,містечко,,7830
Краснопавлівка,49.14596,36.3275358,містечко,,7828
Романів,50.1476608,27.9313692,містечко,,7800
Свеса,51.94816,33.93299,містечко,,7758
Олексієво-Дружківка,48.5785754,37.6044657,містечко,,7746
Берегомет,48.1630737,25.309861,містечко,,7741
Малинівка,49.8006602,36.7180703,містечко,,7725
Власівка,49.1161177,33.2791833,містечко,,7724
Клевань,50.7464848,26.006327,містечко,,7708
Березнегувате,47.308722,32.8486739,містечко,,7676
Вороніж,51.7778331,33.4660287,містечко,,7652
Тересва,47.9978901,23.6995699,містечко,,7625
Кипуче,48.4387871,38.7214859,містечко,,7616
Чорнобай,49.6703659,32.3233563,містечко,,7573
Солоне,48.20423,34.87713,містечко,,7567
Ржищів,49.96822,31.04118,містечко,,7564
Десна,50.9247792,30.7729799,містечко,,7562
Кельменці,48.4654946,26.8318791,містечко,,7552
Сосниця,51.5244906,32.5028975,містечко,,7534
Зоринськ,48.41297,38.62793,містечко,,7532
